uniprot,protein_name,nes_start,nes_end,sasa_nes_avg,sasa_flank_avg,sasa_whole_protein_avg,hydro_nes_avg,hydro_whole_protein_avg,ncpr_nes_avg,ncpr_whole_protein_avg,fcr_nes_avg,fcr_whole_protein_avg
P04637,Cellular tumor antigen p53 (Tumor suppressor p53) (Phosphoprotein p53) (Antigen NY-CO-13),339,352,97.45,118.85,90.55,0.436,0.413,-0.157,-0.005,0.443,0.239
Q00987,Ubiquitin-protein ligase E3 Mdm2 (p53-binding protein Mdm2) (Oncoprotein Mdm2) (Double minute 2 protein) (Hdm2),188,202,82.32,124.53,107.71,0.605,0.409,-0.147,-0.081,0.2,0.293
Q9W639,Xsmad4a,137,146,122.86,99.63,81.88,0.558,0.459,-0.1,-0.009,0.1,0.17
P49138,MAP KINASE-ACTIVATED PROTEIN KINASE 2 (MAPK-ACTIVATED PROTEIN KINASE 2) (MAPKAP KINASE 2) (MAPKAPK-2),330,353,59.26,75.62,65.11,0.368,0.442,-0.15,0.017,0.483,0.25
P00520,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ABL1 (P150) (C-ABL),1078,1096,66.66,71.4,92.12,0.467,0.429,-0.011,0.012,0.263,0.247
P14635,G2/MITOTIC-SPECIFIC CYCLIN B1,141,153,106.84,104.13,78.12,0.607,0.467,-0.185,-0.002,0.185,0.238
Q05116,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK1),32,44,84.28,85.7,60.14,0.345,0.458,-0.215,-0.008,0.554,0.246
P42566,EPIDERMAL GROWTH FACTOR RECEPTOR SUBSTRATE 15 (PROTEIN EPS15) (AF-1P PROTEIN),766,800,132.22,135.88,97.17,0.395,0.462,0.046,-0.068,0.263,0.239
P38398,Breast cancer type 1 susceptibility protein (BRCA1),81,99,69.42,88.08,115.7,0.585,0.412,-0.126,-0.037,0.232,0.266
Q04206,Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (RelA),436,445,149.95,132.75,91.84,0.547,0.445,-0.16,-0.018,0.16,0.214
P41152,Heat shock factor protein HSF30 (Heat shock transcription factor 30) (HSTF 30) (Heat stress transcription factor) (HsfA2),328,351,117.76,123.4,99.91,0.425,0.431,-0.233,-0.054,0.317,0.276
Q01663,AP-1-like transcription factor (Pap1),515,533,64.68,60.83,122.89,0.426,0.405,0.032,-0.043,0.411,0.257
P42224,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),197,205,85.54,75.18,59.02,0.56,0.439,0.178,-0.019,0.267,0.256
Q14872,Metal-regulatory transcription factor (MTF1),336,344,95.36,119.98,116.14,0.632,0.441,-0.111,-0.047,0.111,0.178
P11484,Heat shock protein SSB1 (Cold-inducible protein YG101) (Ssb1),574,587,53.88,69.89,46.21,0.587,0.47,-0.171,-0.02,0.2,0.266
Q12315,RNA export factor GLE1,350,358,6.3,25.3,78.52,0.583,0.426,0.089,0.016,0.133,0.29
P13350,G2/mitotic-specific cyclin B1,76,125,123.27,118.92,73.19,0.475,0.474,-0.152,0.014,0.264,0.241
O35973,Period circadian protein 1 (Circadian pacemaker protein Rigui) (mPER) (M-Rigui),485,498,56.0,84.52,104.48,0.45,0.439,-0.129,-0.019,0.271,0.196
P10688,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta 1 (PLC-delta-1) (Phospholipase C-delta-1) (PLC-III)",164,177,37.45,60.54,45.28,0.443,0.439,-0.086,-0.017,0.429,0.257
O35864,38 kDa MOV34 ISOLOGUE (Kip1 C-terminus interacting protein-2) (Jab1/CSN5),233,242,98.05,72.16,66.15,0.487,0.451,0.04,-0.012,0.4,0.222
P47973,Tristetraproline (TTP) (TIS11A protein) (TIS11) (ZFP-36),1,21,124.37,123.72,118.99,0.437,0.485,-0.152,0.017,0.152,0.124
P25963,NF-kappaB inhibitor alpha (Major histocompatibility complex enhancer- binding protein MAD3) (I-kappa-B-alpha) (IkappaBalpha) (IKB-alpha),22,72,121.92,114.93,75.74,0.333,0.442,-0.133,-0.092,0.447,0.236
P43487,Ran-specific GTPase-activating protein (Ran binding protein 1) (RanBP1),178,195,128.65,113.18,86.5,0.407,0.37,-0.111,-0.06,0.511,0.402
Q14653,Interferon regulatory factor 3 (IRF-3),136,150,89.02,109.33,63.33,0.544,0.446,-0.267,-0.031,0.267,0.219
O15350,Tumor protein p73 (p53-like transcription factor) (p53-related protein),364,382,93.23,119.89,99.13,0.519,0.439,-0.116,-0.009,0.347,0.182
Q15797,MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 1 (SMAD 1) (MOTHERS AGAINST DPP HOMOLOG 1) (MAD-RELATED PROTEIN 1) (TRANSFORMING GROWTH FACTOR- BETA SIGNALING PROTEIN-1) (BSP-1) (HSMAD1) (JV4-1),406,414,30.79,40.48,70.37,0.526,0.432,0.156,-0.004,0.244,0.185
